Fh [kN],u [mm]
-11.73,-0.878673505
-11.35,-0.856402786
-10.77,-0.835577967
-10.17,-0.818516037
-9.72,-0.799954239
-9.41,-0.784182069
-8.816,-0.76748234
-8.15,-0.745605348
-7.76,-0.732758922
-7.302,-0.715980691
-6.684,-0.700413673
-6.108,-0.680148481
-5.626,-0.66584116
-5.168,-0.653037952
-4.596,-0.630274711
-3.995,-0.61789064
-3.536,-0.601770234
-3.131,-0.591959388
-2.702,-0.577836851
-2.097,-0.558090628
-1.74,-0.546749881
-1.342,-0.533162401
-0.8417,-0.521068739
-0.4052,-0.505953327
-0.06172,-0.49163465
0.3281,-0.484716641
0.7513,-0.471599867
0.9635,-0.456632155
1.201,-0.44070581
1.594,-0.437809417
1.916,-0.434514298
2.37,-0.412586197
2.726,-0.403192476
3.235,-0.391388996
3.606,-0.372285822
4.088,-0.35666611
4.504,-0.348762418
4.969,-0.322519599
5.422,-0.309384777
5.907,-0.29189866
6.32,-0.275176541
6.773,-0.261562291
7.273,-0.248301611
7.678,-0.233825078
8.115,-0.221386544
8.577,-0.201342473
9.043,-0.179353166
9.42,-0.173688246
10.02,-0.149891294
10.35,-0.134172856
10.74,-0.114788256
11.39,-0.093982518
11.71,-0.076859266
12.08,-0.062103744
12.74,-0.041583649
13.04,-0.027836699
13.46,-0.007772043
14.06,0.009730446
14.36,0.021594091
14.81,0.031610978
15.35,0.051275652
15.68,0.071503224
16.15,0.087820057
16.67,0.098887968
16.98,0.115225552
17.46,0.13677405
17.91,0.147274712
18.28,0.166047265
18.7,0.183052559
19.21,0.19321265
19.53,0.211861735
19.94,0.221701098
20.32,0.232591646
20.75,0.247243591
21.12,0.264196618
21.42,0.277917792
21.85,0.301306701
22.28,0.31009504
22.59,0.320486102
22.92,0.337967825
23.35,0.356565908
23.61,0.366313221
24.09,0.377448247
24.36,0.397426531
24.59,0.410059031
25.11,0.429742357
25.33,0.434343893
25.68,0.45191836
25.99,0.459467333
26.3,0.481560074
26.66,0.489834459
26.87,0.499509302
27.29,0.513096103
27.5,0.518229883
27.81,0.537021671
28.08,0.552818375
28.58,0.567400434
28.75,0.577441496
28.97,0.591226984
29.51,0.605553522
29.71,0.621170103
29.99,0.625047549
30.37,0.649687961
30.69,0.664978866
31.03,0.673780533
31.37,0.691241026
31.74,0.70599955
32.04,0.715234839
32.28,0.727224549
