image_names,cumulative deformation(mm),degraded stiff(KN/mm),times(s)
LS09_to_LS10_RS3_0039,10.574443138000007,45.73258475287966,379
LS09_to_LS10_RS3_0040,10.610215192000007,45.634907194312866,380
LS09_to_LS10_RS3_0041,10.643149592000007,45.54497800587817,381
LS09_to_LS10_RS3_0042,10.676843979000008,45.45297363119047,382
LS09_to_LS10_RS3_0043,10.707370369000008,45.36961964634359,383
LS09_to_LS10_RS3_0044,10.742204671000009,45.27450267112773,384
LS09_to_LS10_RS3_0045,10.769485595000008,45.20001060948189,385
LS09_to_LS10_RS3_0046,10.812895177000009,45.08147836114734,386
LS09_to_LS10_RS3_0047,10.844911231000008,44.99405676691452,387
LS09_to_LS10_RS3_0048,10.880882176000009,44.895836125546246,388
LS09_to_LS10_RS3_0049,10.915544336000009,44.80118919351792,389
LS09_to_LS10_RS3_0050,10.953294967000009,44.6981090217605,390
LS09_to_LS10_RS3_0051,10.983724048000008,44.61502074448374,391
LS09_to_LS10_RS3_0052,11.024792096000008,44.502882183367184,392
LS09_to_LS10_RS3_0053,11.059257783000009,44.408771731658504,393
LS09_to_LS10_RS3_0054,11.093671787000009,44.314802403220504,394
LS09_to_LS10_RS3_0055,11.130722459000008,44.213633507964474,395
LS09_to_LS10_RS3_0056,11.177825804000008,44.08501523684341,396
LS09_to_LS10_RS3_0057,11.210512203000008,43.995763228763025,397
LS09_to_LS10_RS3_0058,11.252471252000008,43.88119174046927,398
LS09_to_LS10_RS3_0059,11.295713171000008,43.7631173051667,399
