image_names,u [mm],Fh [kN]
LS08_to_LS09_RS3_0042,-0.341020009,-22.98
LS08_to_LS09_RS3_0043,-0.3699021,-24.45
LS08_to_LS09_RS3_0044,-0.405205144,-25.89
LS08_to_LS09_RS3_0045,-0.438703622,-27.29
LS08_to_LS09_RS3_0046,-0.468725619,-28.71
LS08_to_LS09_RS3_0047,-0.508719299,-30.11
LS08_to_LS09_RS3_0048,-0.534974157,-31.56
LS08_to_LS09_RS3_0049,-0.572210561,-33.01
LS08_to_LS09_RS3_0050,-0.609413006,-34.44
LS08_to_LS09_RS3_0051,-0.638675942,-35.89
LS08_to_LS09_RS3_0052,-0.680781367,-37.26
LS08_to_LS09_RS3_0053,-0.7149488,-38.62
LS08_to_LS09_RS3_0054,-0.756043279,-39.93
LS08_to_LS09_RS3_0055,-0.797136759,-40.64
LS09_to_LS10_RS3_0001,-0.811115691,-38.01
LS09_to_LS10_RS3_0002,-0.796643998,-36.79
LS09_to_LS10_RS3_0003,-0.759043515,-34.53
LS09_to_LS10_RS3_0004,-0.732056308,-31.74
LS09_to_LS10_RS3_0005,-0.699815672,-29.47
LS09_to_LS10_RS3_0006,-0.671126223,-27.34
LS09_to_LS10_RS3_0007,-0.641849443,-25.33
LS09_to_LS10_RS3_0008,-0.610407404,-23.41
LS09_to_LS10_RS3_0009,-0.574557341,-21.59
LS09_to_LS10_RS3_0010,-0.544310345,-19.9
LS09_to_LS10_RS3_0011,-0.514896352,-18.06
LS09_to_LS10_RS3_0012,-0.48584266,-16.38
LS09_to_LS10_RS3_0013,-0.45415759,-14.68
LS09_to_LS10_RS3_0014,-0.417081205,-13.03
LS09_to_LS10_RS3_0015,-0.386889597,-11.4
LS09_to_LS10_RS3_0016,-0.366354859,-9.87
LS09_to_LS10_RS3_0017,-0.33102593,-8.387
LS09_to_LS10_RS3_0018,-0.298798228,-7.014
LS09_to_LS10_RS3_0019,-0.271447434,-5.748
LS09_to_LS10_RS3_0020,-0.244523907,-4.452
LS09_to_LS10_RS3_0021,-0.213693084,-3.172
LS09_to_LS10_RS3_0022,-0.191780499,-1.932
LS09_to_LS10_RS3_0023,-0.1586626,-0.7443
LS09_to_LS10_RS3_0024,-0.133578899,0.4195
LS09_to_LS10_RS3_0025,-0.108381237,1.497
LS09_to_LS10_RS3_0026,-0.098399693,2.231
LS09_to_LS10_RS3_0027,-0.065471042,3.23
LS09_to_LS10_RS3_0028,-0.047166062,4.314
LS09_to_LS10_RS3_0029,-0.016919518,5.476
LS09_to_LS10_RS3_0030,0.004113495,6.614
LS09_to_LS10_RS3_0031,0.030120868,7.775
LS09_to_LS10_RS3_0032,0.05919682,8.941
LS09_to_LS10_RS3_0033,0.093710084,10.14
LS09_to_LS10_RS3_0034,0.127002502,11.39
LS09_to_LS10_RS3_0035,0.157102662,12.62
LS09_to_LS10_RS3_0036,0.189430116,13.87
LS09_to_LS10_RS3_0037,0.224297986,15.1
LS09_to_LS10_RS3_0038,0.254715963,16.35
LS09_to_LS10_RS3_0039,0.293019508,17.58
LS09_to_LS10_RS3_0040,0.328791562,18.82
LS09_to_LS10_RS3_0041,0.361725962,20.04
LS09_to_LS10_RS3_0042,0.395420349,21.27
LS09_to_LS10_RS3_0043,0.425946739,22.64
LS09_to_LS10_RS3_0044,0.460781041,23.79
LS09_to_LS10_RS3_0045,0.488061965,25.06
LS09_to_LS10_RS3_0046,0.531471547,26.32
LS09_to_LS10_RS3_0047,0.563487601,27.57
LS09_to_LS10_RS3_0048,0.599458546,28.81
LS09_to_LS10_RS3_0049,0.634120706,30.05
